累季,,,,,,,,
公司,年/月,資產總額,營業收入淨額,,,,,
1103 嘉泥,2023/12,"36,464,334","2,911,583",,,,,
1103 嘉泥,2023/09,"36,080,062","7,802,362",,,,,
1103 嘉泥,2023/06,"37,755,420","2,115,231",,,,,
1103 嘉泥,2023/03,"37,349,312","5,627,754",,,,,
1104 環泥,2023/12,"28,189,560","1,376,704",,,,,
1104 環泥,2023/09,"28,328,192","3,754,719",,,,,
1104 環泥,2023/06,"29,120,141","651,402",,,,,
1104 環泥,2023/03,"28,134,858","1,835,530",,,,,
,,,,,,,,
單季,,,,,,,,
公司,年/月,資產總額,營業收入淨額,,,,,
1103 嘉泥,2023/12,"36,464,334","796,352",,,,,
1103 嘉泥,2023/09,"36,080,062","738,527",,,,,
1103 嘉泥,2023/06,"37,755,420","725,302",,,,,
1103 嘉泥,2023/03,"37,349,312","651,402",,,,,
1104 環泥,2023/12,"28,189,560","2,174,608",,,,,
1104 環泥,2023/09,"28,328,192","1,873,035",,,,,
1104 環泥,2023/06,"29,120,141","1,919,189",,,,,
1104 環泥,2023/03,"28,134,858","1,835,530",,,,,
